,BUILT_FORM,TOTAL_FLOOR_AREA,FLOOR_HEIGHT,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,WINDOWS_DESCRIPTION,WALLS_DESCRIPTION,ROOF_DESCRIPTION,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,MULTI_GLAZE_PROPORTION,MAINHEAT_DESCRIPTION
6230,5,82.6,2.4,3,5.0,0,21,6,5.0,0.0,100.0,7
6231,4,75.25,2.32,3,4.0,0,2,7,4.0,0.0,100.0,7
6232,0,122.8,2.3,3,6.0,0,3,4,6.0,0.0,100.0,7
6233,3,52.1,2.6,3,3.0,0,0,8,3.0,0.0,100.0,21
6234,3,56.2,2.39,3,3.0,0,0,4,3.0,0.0,100.0,7
6235,0,150.4,2.47,3,8.0,0,0,8,8.0,0.0,100.0,7
6236,3,69.25,2.41,1,3.0,0,1,3,3.0,0.0,100.0,7
6237,4,75.9,2.73,3,5.0,4,16,6,2.0,1.0,0.0,30
6238,3,110.5,2.35,3,5.0,0,2,13,5.0,0.0,100.0,7
6239,0,77.1,2.4,3,4.0,0,0,4,4.0,0.0,100.0,7
6240,0,76.8,2.31,3,6.0,0,0,8,6.0,0.0,100.0,7
6241,5,93.0,2.45,3,5.0,0,16,4,5.0,2.0,100.0,7
6242,0,135.2,2.5,3,8.0,3,0,15,8.0,0.0,75.0,7
6243,5,73.75,2.34,3,4.0,0,3,4,4.0,0.0,100.0,7
6244,5,65.9,2.35,3,3.0,0,0,7,3.0,0.0,100.0,7
6245,5,83.9,2.57,3,4.0,0,16,13,4.0,0.0,100.0,7
6246,0,188.1,2.37,3,7.0,0,3,8,7.0,1.0,100.0,8
6247,5,102.2,2.7,3,7.0,0,4,1,7.0,0.0,100.0,7
6248,1,37.7,2.59,1,1.0,3,0,1,1.0,0.0,75.0,7
6249,5,63.66,2.28,3,5.0,0,0,6,5.0,0.0,100.0,7
6250,5,122.9,2.9,3,7.0,3,16,3,7.0,0.0,91.0,7
6251,5,95.2,2.6,3,5.0,0,1,13,5.0,0.0,100.0,7
6252,5,77.6,2.47,3,4.0,0,3,11,4.0,1.0,100.0,1
6253,4,57.6,2.4,3,3.0,0,3,7,3.0,0.0,100.0,7
6254,3,115.94,2.35,3,5.0,0,0,15,5.0,0.0,100.0,7
6255,0,129.6,2.3,3,7.0,0,3,6,7.0,0.0,100.0,7
6256,4,89.25,2.84,3,4.0,0,16,4,4.0,0.0,100.0,7
6257,5,76.7,2.45,3,5.0,0,3,7,5.0,0.0,100.0,7
6258,5,108.0,2.6,3,5.0,3,16,11,5.0,0.0,65.0,7
6259,4,76.6,2.9,3,5.0,3,1,19,5.0,0.0,95.0,7
6260,0,123.44,2.65,3,6.0,0,1,11,6.0,0.0,100.0,7
6261,0,80.4,2.33,3,5.0,0,25,19,5.0,0.0,100.0,7
6262,3,38.9,2.49,3,4.0,0,3,3,4.0,0.0,100.0,7
6263,0,197.4,2.5,3,9.0,0,0,11,9.0,0.0,100.0,7
6264,4,70.4,2.4,3,3.0,0,0,8,3.0,0.0,100.0,7
6265,4,121.9,2.35,3,6.0,0,0,6,6.0,0.0,100.0,7
6266,4,80.9,2.32,3,4.0,0,0,4,4.0,0.0,100.0,7
6267,4,109.8,2.05,3,7.0,0,16,13,7.0,0.0,100.0,7
6268,5,103.0,2.45,3,6.0,0,23,7,6.0,0.0,100.0,7
6269,0,162.8,2.38,3,7.0,2,3,6,7.0,1.0,95.0,7
6270,3,153.8,2.4,3,7.0,0,0,19,7.0,0.0,100.0,7
6271,3,107.06,2.84,3,6.0,0,16,14,6.0,0.0,100.0,7
6272,0,133.0,2.418,3,6.0,0,0,8,6.0,0.0,100.0,7
6273,5,71.0,2.54,3,5.0,0,16,4,5.0,0.0,100.0,7
6274,0,86.25,2.43,3,5.0,0,3,4,5.0,0.0,100.0,7
6275,4,86.94,2.35,3,5.0,0,2,14,5.0,0.0,100.0,7
6276,0,85.25,2.36,3,4.0,0,0,4,4.0,1.0,100.0,8
6277,0,100.8,2.42,3,7.0,0,0,8,7.0,0.0,100.0,7
6278,4,72.2,2.3,3,4.0,0,2,9,4.0,0.0,100.0,7
6279,2,50.84,2.38,3,2.0,0,0,4,2.0,0.0,100.0,7
6280,4,147.5,2.85,3,6.0,3,16,12,6.0,0.0,92.0,7
6281,5,110.94,2.5,3,5.0,3,2,2,5.0,0.0,50.0,7
6282,4,168.0,2.4,3,10.0,0,3,7,10.0,0.0,100.0,7
6283,5,66.0,2.5,3,4.0,0,3,6,4.0,0.0,100.0,7
6284,4,52.53,2.33,3,4.0,0,0,6,4.0,0.0,100.0,7
6285,5,84.2,2.28,3,5.0,0,21,4,5.0,0.0,100.0,7
